rank,appid,name,rating,num_votes
1,739630,Phasmophobia,96.0,810315
2,1145360,Hades,98.0,298131
3,548430,Deep Rock Galactic,97.0,369717
4,1229490,ULTRAKILL,98.0,204619
5,427520,Factorio,97.0,229937
6,1222140,Detroit: Become Human,96.0,226590
7,1289310,Helltaker,98.0,126725
8,546560,Half-Life: Alyx,98.0,102180
9,1057090,Ori and the Will of the Wisps,97.0,142607
10,632360,Risk of Rain 2,94.0,342141
11,1089980,The Henry Stickmin Collection,99.0,55496
12,1150690,OMORI,97.0,85382
13,1113000,Persona 4 Golden,97.0,83348
14,362890,Black Mesa,95.0,139899
15,753640,Outer Wilds,96.0,97478
16,1144400,Senren＊Banka,99.0,34953
17,881100,Noita,95.0,85141
18,1449690,The Walking Dead: The Telltale Definitive Series,97.0,42186
19,1230140,ATRI -My Dear Moments-,98.0,22293
20,782330,DOOM Eternal,91.0,215733
21,346010,Besiege,95.0,51878
22,1240210,There Is No Game: Wrong Dimension,98.0,24864
23,972660,Spiritfarer®: Farewell Edition,95.0,51220
24,1392820,Milk inside a bag of milk inside a bag of milk,97.0,32716
25,1172620,Sea of Thieves: 2025 Edition,89.0,366256
26,1129190,Our Life: Beginnings & Always,99.0,13226
27,851850,DRAGON BALL Z: KAKAROT,93.0,56940
28,1241510,The Test,97.0,20157
29,837470,Untitled Goose Game,96.0,23821
30,1102190,Monster Train,96.0,22711
31,638230,Journey,94.0,36862
32,1049410,Superliminal,95.0,32347
33,1091500,Cyberpunk 2077,86.0,925272
34,1235140,Yakuza: Like a Dragon,94.0,35911
35,953490,CARRION,95.0,30089
36,1158310,Crusader Kings III,90.0,139806
37,610370,Desperados III,97.0,16093
38,1139900,Ghostrunner,91.0,65307
39,1369320,Virtual Cottage,98.0,10906
40,1468260,Leaf Blower Revolution - Idle Game,94.0,26169
41,326460,ShellShock Live,93.0,35295
42,1318690,shapez,96.0,15008
43,1285670,Post Void,97.0,11930
44,1275890,Baldi's Basics Plus,98.0,9535
45,1281800,Samsara Room,97.0,9793
46,1126320,Being a DIK - Season 1,96.0,11567
47,1292940,Cube Escape Collection,98.0,7360
48,895870,Project Wingman,94.0,21026
49,1406990,NEKOPARA Vol. 4,97.0,8752
50,1337010,Alba: A Wildlife Adventure,98.0,7582
51,573090,Stormworks: Build and Rescue,90.0,57030
52,1277930,Riddle Joker,98.0,6718
53,1151640,Horizon Zero Dawn™ Complete Edition,88.0,127246
54,969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,94.0,17576
55,1227890,Summer Memories,93.0,24014
56,1349230,5D Chess With Multiverse Time Travel,97.0,8713
57,1202540,Marco & The Galaxy Dragon,97.0,7418
58,1172450,Carto,96.0,9091
59,1178030,Star Fetchers,97.0,7325
60,1016920,Unrailed!,93.0,19411
61,418530,Spelunky 2,93.0,21427
62,1079260,Fireworks Mania - An Explosive Simulator,97.0,7577
63,1241700,There Is No Game: Jam Edition 2015,97.0,7318
64,914800,Coffee Talk,95.0,12042
65,1282200,The Test: Hypothesis Rising,98.0,5936
66,1428310,The Test: Final Revelation,98.0,5375
67,1213210,Command & Conquer™ Remastered Collection,91.0,34205
68,1102130,Florence,93.0,15487
69,1377360,Vampires' Melody,97.0,5675
70,985890,Streets of Rage 4,93.0,18930
71,1434480,Maitetsu:Last Run!!,98.0,4902
72,1171370,The Supper,99.0,4323
73,1054490,Wingspan,94.0,11412
74,1367550,Kingdom Rush Vengeance - Tower Defense,94.0,10281
75,473950,Manifold Garden,95.0,8011
76,955050,Bright Memory,90.0,32946
77,1140270,Monster Prom 2: Monster Camp,96.0,6090
78,1062160,Poly Bridge 2,95.0,8085
79,466630,The Pedestrian,97.0,5802
80,1030840,Mafia: Definitive Edition,87.0,104185
81,1162750,Songs of Syx,95.0,7495
82,431240,Golf With Your Friends,88.0,71940
83,1369340,Cats Organized Neatly,97.0,4678
84,375480,Chronicon,94.0,9578
85,1012790,Into the Radius VR,94.0,11122
86,1397920,Mr.Mine,92.0,18117
87,773790,Ostriv,95.0,7252
88,980610,Quaver,92.0,16313
89,470310,TROUBLESHOOTER: Abandoned Children,94.0,9575
90,1295510,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,93.0,11273
91,412220,DDNet,89.0,43250
92,589290,Holdfast: Nations At War,90.0,27304
93,1104380,The Room VR: A Dark Matter,98.0,3917
94,1293820,YOU and ME and HER: A Love Story,95.0,6298
95,1218900,Zup! Z,97.0,4284
96,1211630,The Jackbox Party Pack 7,96.0,4849
97,1419860,Tukoni: Prologue,97.0,3937
98,1066890,Automobilista 2,92.0,14460
99,1207650,Suzerain,93.0,10917
100,389170,Songs for a Hero - Definitive Edition,96.0,4330
101,803330,Destroy All Humans!,92.0,11237
102,1271710,LEWDAPOCALYPSE Hentai Evil,94.0,7299
103,960170,DJMAX RESPECT V,89.0,33834
104,956030,Creaks,95.0,5655
105,1216200,Coloring Game 2,97.0,3568
106,960990,Beyond: Two Souls,88.0,37980
107,1475380,TheDawn,93.0,8607
108,1286710,Hylics 2,97.0,3376
109,1148590,DOOM 64,93.0,8339
110,960690,One Step From Eden,93.0,7587
111,1139890,Dictators:No Peace Countryballs,94.0,6187
112,814370,Monster Sanctuary,91.0,12248
113,1178490,港詭實錄ParanormalHK,90.0,19855
114,1145960,The White Door,94.0,6490
115,1049100,泡沫冬景,95.0,4463
116,870780,Control Ultimate Edition,86.0,58110
117,1363430,Propagation VR,94.0,5792
118,1179210,Kill It With Fire,95.0,5312
119,1283190,Neighbours back From Hell,95.0,4836
120,946050,Soda Dungeon 2,94.0,5578
121,848480,Creeper World 4,95.0,4577
122,1293860,The Riftbreaker: Prologue,95.0,4118
123,1164050,When The Past Was Around,95.0,4278
124,874390,The Battle of Polytopia,94.0,5672
125,894940,Littlewood,93.0,6781
126,1161870,Epiphyllum in Love,98.0,2301
127,1349060,It Steals,98.0,2262
128,1304550,Progressbar95,96.0,3346
129,445220,Avorion,90.0,14208
130,12210,Grand Theft Auto IV: The Complete Edition,83.0,190639
131,559650,Witch It,89.0,19676
132,1130410,Cyber Hook,95.0,4079
133,965680,Boomerang Fu,97.0,2831
134,1275350,Ninja Kiwi Archive,93.0,5667
135,1232180,Sakuya Izayoi Gives You Advice And Dabs,98.0,2366
136,978780,STORY OF SEASONS: Friends of Mineral Town,93.0,5599
137,1045720,The Coma 2: Vicious Sisters,96.0,3378
138,1210250,Island Saver,95.0,3743
139,1286350,BPM: BULLETS PER MINUTE,91.0,11315
140,1217390,Some Some Convenience Store,96.0,3100
141,893850,THE LONGING,92.0,7214
142,1293230,House of Detention,91.0,10574
143,1186640,Pumpkin Jack,91.0,9312
144,1324780,Easy Red 2,90.0,12058
145,1202900,Assemble with Care,91.0,9804
146,550320,art of rally,92.0,6089
147,785790,WHAT THE GOLF?,94.0,4607
148,933110,Age of Empires III: Definitive Edition,85.0,52218
149,1297160,a new life.,97.0,2359
150,1307890,Kingdoms Reborn,91.0,9463
151,656350,UnderMine,90.0,9733
152,1340130,Aokana - Four Rhythms Across the Blue - EXTRA1,99.0,1639
153,757320,Atomicrops,92.0,6103
154,268650,From the Depths,89.0,12453
155,1156990,Return to Shironagasu Island,94.0,3944
156,1175140,Vecter,95.0,2927
157,823910,Last Evil,94.0,3598
158,1139980,Travellers Rest,88.0,16268
159,1356670,Sakuna: Of Rice and Ruin,92.0,5627
160,1299120,Mosaique Neko Waifus 2,95.0,2829
161,938560,INMOST,91.0,7112
162,1166860,Rival Stars Horse Racing: Desktop Edition,93.0,4841
163,1347030,THE CORRIDOR,94.0,3440
164,858260,Until You Fall,94.0,3278
165,725480,Slap City,95.0,2876
166,1160220,Paradise Killer,93.0,4345
167,1116580,Shady Part of Me,94.0,3116
168,393380,Squad,81.0,231580
169,1111370,A Summer's End - Hong Kong 1986,96.0,2126
170,1460090,The Life and Suffering of Sir Brante — Chapter 1&2,96.0,2032
171,1450830,At Dead Of Night,94.0,3313
172,1106840,Hydroneer,86.0,26829
173,1368860,像素女友,98.0,1390
174,1194840,Frog Fractions: Game of the Decade Edition,95.0,2698
175,1246020,NOeSIS01_诉说谎言记忆物语,98.0,1483
176,924980,Trials of Mana,91.0,5627
177,1416130,Perfect Vermin,93.0,3777
178,1444350,House,96.0,2071
179,1283130,Micro Platformer,97.0,1748
180,746850,Cloudpunk,88.0,15004
181,1064460,Murder House,95.0,2274
182,1249880,Tiny Bunny: Prologue,95.0,2227
183,998740,Ring of Pain,92.0,4995
184,524910,Hidden Through Time,94.0,2986
185,805590,ARMORED HEAD,98.0,1267
186,1084640,Chicken Police - Paint it RED!,95.0,2470
187,1201280,A Space For The Unbound - Prologue,98.0,1314
188,788100,Neon Abyss,86.0,23456
189,1404210,Red Dead Online,83.0,68468
190,952060,Resident Evil 3,82.0,100087
191,591460,Parkasaurus,93.0,3083
192,1430420,CBT With Yuuka Kazami,97.0,1424
193,1146970,My Vow to My Liege,92.0,4064
194,1335560,UNREAL LIFE,96.0,1852
195,1150950,Timelie,94.0,2490
196,1225780,他人世界末 On-looker,93.0,2947
197,1347430,Cute Honey,91.0,5516
198,1213740,She Will Punish Them,86.0,18149
199,1146630,Yokai's Secret,90.0,6908
200,1168470,千面 Melancholy Love,95.0,2203
201,955900,Amazing Cultivation Simulator,86.0,23383
202,397540,Borderlands 3,81.0,161581
203,1201240,BLEACH Brave Souls,88.0,12455
204,495420,State of Decay 2: Juggernaut Edition,83.0,66592
205,1071130,The Procession to Calvary,98.0,1236
206,1216080,坦率的小红帽和爱说谎的狼,98.0,1112
207,960910,Heavy Rain,85.0,26021
208,1357870,Metel - Horror Escape,94.0,2344
209,1212620,Pretty Neko,93.0,3066
210,1115690,"Yes, Your Grace",87.0,13489
211,962730,Skater XL - The Ultimate Skateboarding Game,86.0,19592
212,793460,112 Operator,89.0,7108
213,1385730,Mosaique Neko Waifus 3,95.0,2065
214,1151440,Utawarerumono: Mask of Truth,96.0,1442
215,1299370,Friendship with Benefits,96.0,1628
216,1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),91.0,4738
217,1546860,Saiko no sutoka,92.0,3677
218,926340,Roman's Christmas / 罗曼圣诞探案集,96.0,1488
219,407130,Tank Mechanic Simulator,88.0,8800
220,1214280,Walking Simulator,88.0,9450
221,965580,Root,90.0,5104
222,1260810,Touhou Blooming Chaos 2,93.0,2574
223,1378290,The Citadel,93.0,2637
224,1238680,Amairo Chocolate,98.0,982
225,876650,Aground,94.0,1950
226,1283220,Devolverland Expo,89.0,5723
227,1395560,Kandidatos,90.0,4245
228,1275640,Coloring Game 3,95.0,1511
229,719040,Wasteland 3,85.0,21813
230,1052990,A Monster's Expedition,95.0,1555
231,1178050,狐の旅路,95.0,1475
232,1435310,Shotgun Witch,97.0,1088
233,523660,HYPERCHARGE: Unboxed,90.0,4362
234,866140,Arise: A Simple Story,92.0,2926
235,1154810,Going Under,90.0,3983
236,1196630,Nexomon: Extinction,90.0,3905
237,1162070,Nyakori's Rabbit Doll,95.0,1401
238,983970,Haven,89.0,5855
239,1100990,Aimbeast,93.0,2145
240,1238730,Flowers -Le volume sur automne-,99.0,747
241,1440440,Sam & Max Save the World,94.0,1844
242,1389630,High Entropy: Challenges,96.0,1251
243,1181400,Path of Giants,97.0,985
244,991270,The Legend of Heroes: Trails of Cold Steel III,91.0,3120
245,1281270,Fatum Betula,97.0,1048
246,1393350,Swaying Girl,89.0,5085
247,994140,Lightmatter,91.0,2843
248,1437830,Heroes of the Three Kingdoms 2,93.0,1836
249,970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,87.0,7820
250,1257410,Cat in the Box,94.0,1498
