rank,name,appid
1,Apex Legends™,1172470
2,Cyberpunk 2077,1091500
3,Phasmophobia,739630
4,Deep Rock Galactic,548430
5,Sea of Thieves: 2025 Edition,1172620
6,Risk of Rain 2,632360
7,Hades,1145360
8,Squad,393380
9,Factorio,427520
10,Detroit: Become Human,1222140
11,DOOM Eternal,782330
12,ULTRAKILL,1229490
13,Grand Theft Auto IV: The Complete Edition,12210
14,Borderlands 3,397540
15,Ori and the Will of the Wisps,1057090
16,Black Mesa,362890
17,Crusader Kings III,1158310
18,Fallout 76,1151340
19,Horizon Zero Dawn™ Complete Edition,1151640
20,Helltaker,1289310
21,Mafia: Definitive Edition,1030840
22,Half-Life: Alyx,546560
23,Resident Evil 3,952060
24,Outer Wilds,753640
25,OMORI,1150690
26,Noita,881100
27,Persona 4 Golden,1113000
28,Golf With Your Friends,431240
29,Microsoft Flight Simulator (2020) 40th Anniversary Edition,1250410
30,Red Dead Online,1404210
31,Wolcen: Lords of Mayhem,424370
32,State of Decay 2: Juggernaut Edition,495420
33,Ghostrunner,1139900
34,Mafia III: Definitive Edition,360430
35,Control Ultimate Edition,870780
36,Stormworks: Build and Rescue,573090
37,DRAGON BALL Z: KAKAROT,851850
38,The Henry Stickmin Collection,1089980
39,Age of Empires III: Definitive Edition,933110
40,Besiege,346010
41,Spiritfarer®: Farewell Edition,972660
42,KARDS - The WW2 Card Game,544810
43,DDNet,412220
44,The Walking Dead: The Telltale Definitive Series,1449690
45,RISK: Global Domination,1128810
46,Beyond: Two Souls,960990
47,Conqueror's Blade,835570
48,Journey,638230
49,POLYGON,1241100
50,Yakuza: Like a Dragon,1235140
51,Mafia II: Definitive Edition,1030830
52,ShellShock Live,326460
53,Senren＊Banka,1144400
54,Command & Conquer™ Remastered Collection,1213210
55,Empyrion - Galactic Survival,383120
56,DJMAX RESPECT V,960170
57,Stoneshard,625960
58,Bright Memory,955050
59,Milk inside a bag of milk inside a bag of milk,1392820
60,Superliminal,1049410
61,CARRION,953490
62,GWENT: The Witcher Card Game,1284410
63,The Outer Worlds,578650
64,STAR WARS™: Squadrons,1222730
65,Holdfast: Nations At War,589290
66,Hydroneer,1106840
67,RuneScape ®,1343400
68,Leaf Blower Revolution - Idle Game,1468260
69,Blackwake,420290
70,Heavy Rain,960910
71,There Is No Game: Wrong Dimension,1240210
72,Drug Dealer Simulator,682990
73,Phantasy Star Online 2 New Genesis,1056640
74,Last Oasis,903950
75,Summer Memories,1227890
76,Untitled Goose Game,837470
77,Neon Abyss,788100
78,Amazing Cultivation Simulator,955900
79,XCOM®: Chimera Squad,882100
80,Monster Train,1102190
81,ATRI -My Dear Moments-,1230140
82,Wasteland 3,719040
83,Spelunky 2,418530
84,Project Wingman,895870
85,Craftopia,1307550
86,The Test,1241510
87,港詭實錄ParanormalHK,1178490
88,Witch It,559650
89,Skater XL - The Ultimate Skateboarding Game,962730
90,Unrailed!,1016920
91,Action Taimanin,1335200
92,Streets of Rage 4,985890
93,Darwin Project,544920
94,She Will Punish Them,1213740
95,Mr.Mine,1397920
96,Shop Titans,1258080
97,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,969990
98,Serious Sam 4,257420
99,Quaver,980610
100,Travellers Rest,1139980
101,Desperados III,610370
102,Iron Harvest,826630
103,ROMANCE OF THE THREE KINGDOMS XIV,872410
104,Florence,1102130
105,Tell Me Why,1180660
106,shapez,1318690
107,Cloudpunk,746850
108,Idle Champions of the Forgotten Realms,627690
109,Automobilista 2,1066890
110,Avorion,445220
111,"Yes, Your Grace",1115690
112,Our Life: Beginnings & Always,1129190
113,Need for Speed™ Hot Pursuit Remastered,1328660
114,Pixel Strike 3D,915320
115,BLEACH Brave Souls,1201240
116,From the Depths,268650
117,Escape Room - Der kranke Kollege,1301720
118,SUPERHOT: MIND CONTROL DELETE,690040
119,Monster Sanctuary,814370
120,RIDE 4,1259980
121,Easy Red 2,1324780
122,Coffee Talk,914800
123,Post Void,1285670
124,Night of the Dead,1377380
125,Being a DIK - Season 1,1126320
126,Wingspan,1054490
127,Torchlight III,1030210
128,BPM: BULLETS PER MINUTE,1286350
129,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,1295510
130,Destroy All Humans!,803330
131,Ancestors: The Humankind Odyssey,536270
132,Into the Radius VR,1012790
133,Suzerain,1207650
134,Virtual Cottage,1369320
135,Soulworker,1377580
136,House of Detention,1293230
137,Biped,1071870
138,Visage,594330
139,Kingdom Rush Vengeance - Tower Defense,1367550
140,Angel Legion,1333350
141,Idle Slayer,1353300
142,The Walking Dead: Saints & Sinners,916840
143,The Survivalists,897450
144,Assemble with Care,1202900
145,Samsara Room,1281800
146,UnderMine,656350
147,Space Haven,979110
148,Chronicon,375480
149,TROUBLESHOOTER: Abandoned Children,470310
150,The Dark Pictures Anthology: Little Hope,1194630
151,Xuan-Yuan Sword VII,1249800
152,Baldi's Basics Plus,1275890
153,Kingdoms Reborn,1307890
154,Walking Simulator,1214280
155,Pumpkin Jack,1186640
156,Amnesia: Rebirth,999220
157,Carto,1172450
158,Tank Mechanic Simulator,407130
159,NEKOPARA Vol. 4,1406990
160,5D Chess With Multiverse Time Travel,1349230
161,TheDawn,1475380
162,Partisans 1941,1227530
163,Granblue Fantasy: Versus,1090630
164,Total Tank Simulator,674500
165,Due Process,753650
166,DOOM 64,1148590
167,Furry Love,1334590
168,Train Sim World® 2,1282590
169,Poly Bridge 2,1062160
170,Iratus: Lord of the Dead,807120
171,Manifold Garden,473950
172,Death and Taxes,1166290
173,Scribble It!,1088150
174,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,970830
175,Streamer Life Simulator,1261040
176,Kingdoms of Amalur: Re-Reckoning,1041720
177,One Step From Eden,960690
178,Alba: A Wildlife Adventure,1337010
179,Fireworks Mania - An Explosive Simulator,1079260
180,Unfortunate Spacemen,408900
181,Gears Tactics,1184050
182,Songs of Syx,1162750
183,Marco & The Galaxy Dragon,1202540
184,Azur Lane Crosswave,1150080
185,RUSSIAPHOBIA,1184160
186,Cube Escape Collection,1292940
187,Star Fetchers,1178030
188,There Is No Game: Jam Edition 2015,1241700
189,LEWDAPOCALYPSE Hentai Evil,1271710
190,Ostriv,773790
191,THE LONGING,893850
192,112 Operator,793460
193,INMOST,938560
194,Yokai's Secret,1146630
195,Blood of Steel,567630
196,DIRT 5,1038250
197,The Infected,1360000
198,Phoenix Point,839770
199,The Wind Road,1264670
200,SWORD ART ONLINE Alicization Lycoris,1009290
201,Littlewood,894940
202,DAEMON X MACHINA,1167450
203,Riddle Joker,1277930
204,The Suicide of Rachel Foster,1057750
205,The White Door,1145960
206,Kidnapped Girl,1274290
207,DOOM Eternal: The Ancient Gods - Part One,1098292
208,Captain Tsubasa: Rise of New Champions,1163550
209,YOU and ME and HER: A Love Story,1293820
210,Empire of Sin,604540
211,Spirit of the North,1213700
212,Dictators:No Peace Countryballs,1139890
213,HARD BULLET,1294760
214,Startup Company,606800
215,Hello Neighbor 2 Alpha 1.5,1364960
216,Atomicrops,757320
217,Monster Prom 2: Monster Camp,1140270
218,art of rally,550320
219,The Test: Hypothesis Rising,1282200
220,Haven,983970
221,The Pedestrian,466630
222,Propagation VR,1363430
223,Call of the Sea,1042490
224,Devolverland Expo,1283220
225,Vampires' Melody,1377360
226,The Battle of Polytopia,874390
227,Ninja Kiwi Archive,1275350
228,Creaks,956030
229,Per Aspera,803050
230,Trials of Mana,924980
231,Sakuna: Of Rice and Ruin,1356670
232,STORY OF SEASONS: Friends of Mineral Town,978780
233,Soda Dungeon 2,946050
234,Cute Honey,1347430
235,Ratropolis,1108370
236,SUCCUBUS: Prologue,1344350
237,The Test: Final Revelation,1428310
238,Hentai Vs Furries,1208260
239,Crown Trick,1000010
240,Kill It With Fire,1179210
241,Left on Read,1306580
242,Cloud Meadow,1223750
243,Firefighting Simulator - The Squad,420560
244,Root,965580
245,Othercide,798490
246,Swaying Girl,1393350
247,Observation,906100
248,Ring of Pain,998740
249,"Poker Master - Texas Hold'em, Roulette, Blackjack, Baccarat, Omaha, Slots, Teen Patti",994910
250,Calico,1112890
